Episode,Steps,TotalReward,ActorLoss,CriticLoss,MeanValue,ValueStd,MeanReturn,ClipFraction
2256,120,-25.93,-0.0237,0.0713,-11.81,15.50,2.62,0.0000
2272,73,-1.39,-0.0243,0.0801,12.94,10.25,21.94,0.0000
2288,81,-40.20,-0.0310,0.0768,-3.69,10.38,-9.09,0.0000
2304,109,-33.38,-0.0267,0.0619,-12.75,10.50,-1.85,0.0000
2320,112,-28.74,-0.0154,0.0586,-31.25,13.00,-65.43,0.0000
2336,98,-22.01,-0.0290,0.0577,-17.62,15.38,-23.00,0.0000
2352,87,-35.62,-0.0275,0.0628,-34.25,22.38,-71.88,0.0000
2368,116,0.59,-0.0269,0.0551,-30.38,11.12,-63.53,0.0000
2384,250,-26.87,-0.0211,0.0591,-22.25,13.94,-21.20,0.0000
2400,86,-56.00,-0.0300,0.0682,-7.53,17.75,-1.70,0.0000
2416,170,-59.82,-0.0276,0.0709,-24.25,14.12,-23.49,0.0000
2432,129,-56.21,-0.0320,0.0736,-9.69,9.88,-28.22,0.0000
2448,77,-45.23,-0.0332,0.0650,-13.44,4.16,-9.95,0.0000
2464,86,-83.57,-0.0276,0.0770,-28.88,5.12,-37.76,0.0000
2480,72,-22.78,-0.0252,0.0634,-12.06,11.06,-0.47,0.0000
2496,132,-98.46,-0.0236,0.0835,-14.62,14.44,-25.05,0.0000
2512,131,-52.23,-0.0312,0.0662,-22.62,15.69,-27.97,0.0000
2528,250,-26.32,-0.0246,0.0584,-19.00,13.75,-9.78,0.0000
2544,96,-6.94,-0.0352,0.0694,-41.50,10.31,-25.07,0.0000
2560,90,-22.95,-0.0268,0.0568,-25.25,17.88,-69.52,0.0000
2576,94,-19.10,-0.0391,0.0492,-22.75,23.75,-17.93,0.0000
2592,99,-14.30,-0.0333,0.0469,-5.94,9.06,-2.43,0.0000
2608,106,3.11,-0.0321,0.0493,-12.94,15.81,-5.34,0.0000
2624,115,-39.14,-0.0197,0.0632,-5.00,7.53,-0.14,0.0000
2640,144,5.95,-0.0345,0.0451,-19.62,11.00,-14.10,0.0000
2656,111,-6.98,-0.0137,0.0547,2.70,5.25,13.15,0.0000
2672,95,5.46,-0.0265,0.0448,11.38,18.75,16.70,0.0000
2688,139,-9.22,-0.0329,0.0508,0.36,14.38,-11.81,0.0000
2704,99,-11.20,-0.0318,0.0435,-0.87,9.06,-9.13,0.0000
2720,90,-12.02,-0.0214,0.0504,-7.84,6.41,-0.55,0.0000
2736,89,-12.18,-0.0311,0.0504,-19.25,5.41,-21.10,0.0000
2752,105,-14.05,-0.0318,0.0547,4.25,7.19,2.92,0.0000
2768,90,-42.77,-0.0320,0.0633,-1.24,10.62,-2.62,0.0000
2784,117,4.01,-0.0265,0.0589,3.11,11.38,7.33,0.0000
2800,81,-39.02,-0.0430,0.0460,-8.00,13.06,-21.98,0.0000
2816,101,4.61,-0.0286,0.0505,-24.12,6.94,-24.34,0.0000
2832,122,-41.50,-0.0270,0.0549,-11.00,12.31,-1.87,0.0000
2848,86,7.72,-0.0328,0.0467,-17.50,13.50,-8.35,0.0000
2864,127,5.61,-0.0297,0.0487,-27.75,12.12,-10.56,0.0000
2880,85,-18.60,-0.0388,0.0516,-16.50,10.31,-4.68,0.0000
2896,110,5.46,-0.0360,0.0442,-7.09,13.44,4.10,0.0000
2912,120,21.10,-0.0263,0.0415,-27.25,11.44,-24.26,0.0000
2928,140,-24.09,-0.0307,0.0542,6.00,13.94,12.22,0.0000
2944,106,10.44,-0.0260,0.0487,8.56,8.19,13.15,0.0000
2960,112,-53.56,-0.0284,0.0765,-9.94,9.19,-8.79,0.0000
2976,144,16.22,-0.0362,0.0519,-25.50,19.00,-17.99,0.0000
2992,107,-43.29,-0.0350,0.0717,26.62,34.25,17.32,0.0000
3008,89,-2.73,-0.0276,0.0593,-4.25,8.81,8.19,0.0000
3024,140,8.04,-0.0269,0.0447,-3.06,11.44,6.49,0.0000
3040,94,16.00,-0.0332,0.0538,21.00,14.00,9.50,0.0000
